,season,team,identifier,name,unique_name,key_cricinfo,batting_style,player_type,bowling_style
0,2007/08,Kolkata Knight Riders,725529bc,SC Ganguly,SC Ganguly,28779,Left hand Bat,Batter,Right arm Medium
1,2007/08,Kolkata Knight Riders,b8a55852,BB McCullum,BB McCullum,37737,Right hand Bat,Wicketkeeper Batter,NA
2,2007/08,Kolkata Knight Riders,7d415ea5,RT Ponting,RT Ponting,7133,Right hand Bat,Top order Batter,Right arm Medium
3,2007/08,Kolkata Knight Riders,fd835ab3,DJ Hussey,DJ Hussey,5766,Right hand Bat,Allrounder,Right arm Offbreak
4,2007/08,Kolkata Knight Riders,9ab63e7b,Mohammad Hafeez,Mohammad Hafeez,41434,Right hand Bat,Allrounder,Right arm Offbreak
5,2007/08,Kolkata Knight Riders,b1451597,LR Shukla,LR Shukla,34019,Right hand Bat,Allrounder,Right arm Medium
6,2007/08,Kolkata Knight Riders,fe11caa6,WP Saha,WP Saha,279810,Right hand Bat,Wicketkeeper Batter,NA
7,2007/08,Kolkata Knight Riders,fa463154,AB Agarkar,AB Agarkar,26184,Right hand Bat,Bowler,Right arm Fast
8,2007/08,Kolkata Knight Riders,66b30f71,AB Dinda,AB Dinda,227712,Right hand Bat,Bowler,Right arm Medium fast
9,2007/08,Kolkata Knight Riders,abfeb126,M Kartik,M Kartik,30049,Left hand Bat,Bowler,Slow Left arm Orthodox
10,2007/08,Kolkata Knight Riders,5bb1a1c4,I Sharma,I Sharma,236779,Right hand Bat,Bowler,Right arm Fast medium
11,2007/08,Royal Challengers Bangalore,0184dc35,R Dravid,R Dravid,28114,Right hand Bat,Top order Batter,Right arm Offbreak
12,2007/08,Royal Challengers Bangalore,619aa81f,W Jaffer,W Jaffer,29646,Right hand Bat,Top order Batter,Right arm Offbreak
13,2007/08,Royal Challengers Bangalore,ba607b88,V Kohli,V Kohli,253802,Right hand Bat,Top order Batter,Right arm Medium
14,2007/08,Royal Challengers Bangalore,86dc8f2e,JH Kallis,JH Kallis,45789,Right hand Bat,Allrounder,Right arm Fast medium
15,2007/08,Royal Challengers Bangalore,d0513f63,CL White,CL White,8291,Right hand Bat,Middle order Batter,Legbreak Googly
16,2007/08,Royal Challengers Bangalore,f3cb53a1,MV Boucher,MV Boucher,44111,Right hand Bat,Wicketkeeper Batter,NA
17,2007/08,Royal Challengers Bangalore,af7dadf7,B Akhil,B Akhil,26206,Right hand Bat,Bowler,Right arm Medium fast
18,2007/08,Royal Challengers Bangalore,b69e69ed,AA Noffke,AA Noffke,6938,Right hand Bat,Allrounder,Right arm Fast medium
